,id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,reviews_per_month,price_log,distrito_barajas,distrito_carabanchel,distrito_centro,distrito_chamartín,distrito_chamberí,distrito_ciudad_lineal,distrito_fuencarral___el_pardo,distrito_hortaleza,distrito_latina,distrito_moncloa___aravaca,distrito_moratalaz,distrito_puente_de_vallecas,distrito_retiro,distrito_salamanca,distrito_san_blas___canillejas,distrito_tetuán,distrito_usera,distrito_vicálvaro,distrito_villa_de_vallecas,distrito_villaverde,rt_hotel_room,rt_private_room,rt_shared_room,air_conditioning,kitchen_and_else,tv,wifi,white_goods,elevator,long_term_stays,Sentiment_Score_Afinn,commo
13100,1117500916477698730,2,100,67,1.0,1.0,3,1,2,0,118.0,31,364,0,9,9,4.89,4.89,5.0,5.0,5.0,5.0,5.0,0,0.85,4.770684624465665,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,9.22222222222222,1
13101,1117735560845125649,1,100,73,1.0,7.0,4,1,1,2,33.0,1,65,137,44,44,4.86,4.95,4.84,4.93,4.95,4.58,4.88,0,3.8,3.4965075614664802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,1,6.204545454545454,1
13102,1117873844822288894,2,100,94,1.0,1.0,4,1,0,1,140.0,3,90,95,18,18,4.94,5.0,5.0,5.0,5.0,5.0,4.78,0,2.15,4.941642422609304,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,10.0,0
13103,1117934773786597292,1,99,99,0.0,157.0,4,2,2,2,137.0,1,1125,5,4,4,5.0,5.0,5.0,4.75,4.25,5.0,5.0,1,0.4,4.919980925828125,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,9.333333333333334,1
13104,1117973122911058981,2,98,100,0.0,259.0,2,1,1,1,127.0,30,1125,295,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,4.844187086458591,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.0,1
13105,1117983691734151421,2,98,100,0.0,259.0,4,1,2,2,149.0,30,1125,255,2,2,2.5,3.5,3.0,4.0,3.0,5.0,2.0,1,0.18,5.003946305945459,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,4.5,1
13106,1118319135300543461,1,100,97,1.0,1.0,2,1,1,1,34.0,2,6,1,53,53,4.96,5.0,4.96,4.96,4.98,4.79,4.89,0,4.73,3.5263605246161616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,0,7.365384615384615,1
13107,1118338106108509879,2,100,84,0.0,2.0,2,1,1,1,107.0,3,729,1,11,11,4.55,4.64,4.91,4.55,5.0,4.73,4.55,0,1.1,4.672828834461906,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,7.0,0
13108,1118700465506537480,3,67,10,0.0,3.0,2,1,1,1,90.0,2,60,232,2,2,5.0,5.0,4.5,5.0,5.0,5.0,5.0,0,0.19,4.499809670330265,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,8.5,0
13109,1118712037351054974,1,100,100,0.0,31.0,3,1,1,3,91.0,3,365,22,26,26,4.5,4.27,4.15,4.77,4.62,4.85,4.38,1,2.28,4.51085950651685,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,6.291666666666667,1
13110,1118734985898285007,1,100,98,0.0,4.0,4,1,1,3,138.0,1,365,31,2,2,5.0,5.0,4.5,5.0,5.0,5.0,5.0,1,0.37,4.927253685157205,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,11.0,0
13111,1118790995731043941,1,100,99,0.0,26.0,1,4,1,8,21.0,1,365,198,7,7,4.57,4.57,4.71,4.71,4.57,4.57,4.71,1,0.72,3.044522437723423,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,2.142857142857143,1
13112,1118862524591676031,1,100,99,0.0,21.0,3,1,2,2,139.0,28,90,50,23,23,4.65,4.74,4.7,4.78,4.74,4.7,4.43,0,2.03,4.9344739331306915,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,7.043478260869565,0
13113,1122429998597398169,2,98,100,0.0,259.0,2,1,1,1,128.0,30,1125,305,4,4,4.5,4.75,4.0,5.0,5.0,4.5,4.5,1,0.39,4.852030263919617,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,11.0,1
13114,1118895921007316355,1,100,100,0.0,3.0,2,1,1,1,80.0,2,365,13,49,49,4.76,4.78,4.61,4.92,4.88,4.94,4.59,1,4.43,4.382026634673881,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,6.591836734693878,0
13115,1118918594600182177,1,100,99,0.0,26.0,1,4,1,8,21.0,1,365,226,6,6,3.33,4.17,4.33,4.17,3.17,4.0,3.67,1,0.62,3.044522437723423,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,2.5,1
13116,1118923998006600118,1,100,99,0.0,26.0,1,4,1,6,21.0,1,365,187,2,2,4.5,5.0,4.5,5.0,5.0,5.0,5.0,1,0.18,3.044522437723423,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,2.5,1
13117,1118931726726726734,1,100,99,0.0,26.0,2,4,1,7,42.0,1,365,0,3,3,4.33,4.33,4.67,4.67,4.67,5.0,4.33,1,0.49,3.7376696182833684,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,7.0,1
13118,1118957739309703956,1,100,99,0.0,26.0,2,4,1,2,51.0,1,365,0,60,60,4.17,4.3,4.2,4.65,4.65,4.58,4.35,1,5.29,3.9318256327243257,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,4.169491525423729,1
